Product URL,Product Name,Product Price,Product Rating,Number of Reviews,Product Description,ASIN,Manufacturer
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",599,3.8 out of 5 stars,"2,049","Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment.",Not available,Visit the Safari Store
https://www.amazon.in/gp/goldbox/,Not available,599,Not available,M.R.P:,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,189,3.7 out of 5 stars,"6,480",Not available,Not available,Not available
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,189,3.7 out of 5 stars,"6,480",Not available,Not available,Not available
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Not available,189,Not available,M.R.P:,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,014",4.3 out of 5 stars,More Like This,Not available,Not available,Not available
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Not available,Not available,Not available,More Like This,Not available,Not available,Not available
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,014",4.3 out of 5 stars,"5,625",Not available,Not available,Not available
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Not available,"1,014",Not available,M.R.P:,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,4.0 out of 5 stars,"19,115",Not available,Not available,Not available
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,4.0 out of 5 stars,"19,115",Not available,Not available,Brand: Wesley
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,Not available,248,Not available,M.R.P:,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,109",4.5 out of 5 stars,More Like This,Not available,Not available,Not available
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Not available,Not available,Not available,More Like This,Not available,Not available,Not available
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,109",4.5 out of 5 stars,"7,069",Not available,Not available,Not available
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Not available,"2,109",Not available,M.R.P:,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=aFatg&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=ES375ASGPT3P32T4RN5R&pd_rd_wg=BvTpX&pd_rd_r=3de8ff90-84d6-4561-b6a3-739171f37918&qid=1685520110,Not available,Not available,Not available,bags for girls,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",Not available,Brand: American Tourister
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=aFatg&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=ES375ASGPT3P32T4RN5R&pd_rd_wg=BvTpX&pd_rd_r=3de8ff90-84d6-4561-b6a3-739171f37918&qid=1685520110,Not available,Not available,Not available,bags for girls,Not available,Not available,Not available
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=aFatg&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=ES375ASGPT3P32T4RN5R&pd_rd_wg=BvTpX&pd_rd_r=3de8ff90-84d6-4561-b6a3-739171f37918&qid=1685520110,Not available,Not available,Not available,bags for girls,Not available,Not available,Not available
